epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
172,6795.78,0.70884,0.44589,0.01105,0.87017,0.86667,0.90577,0.66671,1.00664,0.52482,0.0263,0.0008714,0.0008714,0.0008714
173,6835.46,0.70915,0.46076,0.01173,0.88592,0.84762,0.9083,0.67668,0.98458,0.74198,0.02494,0.0008648,0.0008648,0.0008648
174,6875.82,0.71109,0.51076,0.01149,0.89591,0.84762,0.91884,0.68999,0.98208,0.53602,0.02509,0.0008582,0.0008582,0.0008582
175,6915.3,0.70811,0.46659,0.01131,0.87241,0.84655,0.91877,0.67617,1.03383,0.59684,0.02582,0.0008516,0.0008516,0.0008516
176,6956.34,0.70354,0.46304,0.01147,0.91283,0.88571,0.94905,0.70531,0.9369,0.51839,0.02218,0.000845,0.000845,0.000845
177,6995.51,0.67742,0.42298,0.01074,0.88495,0.88571,0.92826,0.69419,0.95649,0.59254,0.02386,0.0008384,0.0008384,0.0008384
178,7035.71,0.69495,0.47657,0.01098,0.95779,0.8645,0.93987,0.68886,0.94788,0.48939,0.02256,0.0008318,0.0008318,0.0008318
179,7075.22,0.70092,0.46638,0.0112,0.89984,0.88571,0.94253,0.69347,0.98451,0.50395,0.0245,0.0008252,0.0008252,0.0008252
180,7115.49,0.69851,0.46839,0.01126,0.87566,0.88571,0.93665,0.68167,1.01683,0.59677,0.02535,0.0008186,0.0008186,0.0008186
181,7154.92,0.70551,0.44182,0.01148,0.85126,0.91429,0.94506,0.67737,1.08306,0.48748,0.02798,0.000812,0.000812,0.000812
182,7194.72,0.71241,0.44253,0.01132,0.89236,0.86854,0.92811,0.70144,0.97182,0.48919,0.02386,0.0008054,0.0008054,0.0008054
