epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,7143.15,0.96898,0.8244,1.22381,0.97916,0.32634,0.34706,0.2556,1.19652,0.82822,1.39091,0.0014126,0.0014126,0.0014126
91,7213.96,0.95285,0.85854,1.21344,0.91739,0.32639,0.34729,0.27334,1.12882,0.79884,1.3758,0.001406,0.001406,0.001406
92,7279.98,0.93999,0.80569,1.20632,0.85925,0.34028,0.34623,0.26854,1.09409,0.85308,1.34522,0.0013994,0.0013994,0.0013994
93,7349.81,0.96628,0.85855,1.23231,0.8974,0.32639,0.34735,0.25889,1.11581,0.92902,1.33228,0.0013928,0.0013928,0.0013928
94,7420.92,0.98348,0.85552,1.22972,0.83037,0.32639,0.34076,0.26504,1.14224,0.83458,1.4121,0.0013862,0.0013862,0.0013862
95,7492.02,0.96011,0.84718,1.23338,0.82506,0.33333,0.34756,0.2624,1.1268,0.84936,1.39444,0.0013796,0.0013796,0.0013796
96,7563.99,0.95622,0.84342,1.21129,0.86923,0.32315,0.34446,0.27004,1.09081,0.83182,1.35876,0.001373,0.001373,0.001373
97,7636.71,0.95951,0.84003,1.21982,0.84703,0.33333,0.34311,0.25963,1.09733,0.87868,1.34964,0.0013664,0.0013664,0.0013664
98,7713.75,0.95214,0.83516,1.22338,0.89929,0.31944,0.34086,0.25838,1.07212,0.86505,1.29655,0.0013598,0.0013598,0.0013598
99,7784.15,0.9859,0.86341,1.2205,0.92142,0.34028,0.35422,0.25886,1.10029,0.91761,1.31119,0.0013532,0.0013532,0.0013532
100,7860.8,0.98419,0.85226,1.2315,0.80643,0.32639,0.33145,0.25201,1.0433,0.95186,1.24054,0.0013466,0.0013466,0.0013466
101,7925.68,0.95903,0.82828,1.22222,0.94265,0.31944,0.36178,0.27475,1.06406,0.8649,1.28875,0.00134,0.00134,0.00134
102,8028.99,0.94304,0.83821,1.18692,0.93997,0.31944,0.34931,0.2743,1.06984,0.86893,1.26925,0.0013334,0.0013334,0.0013334
103,8102.76,0.95663,0.80598,1.1994,0.93589,0.31944,0.34421,0.26362,1.09435,0.79793,1.34888,0.0013268,0.0013268,0.0013268
104,8172.2,0.94818,0.83356,1.20846,0.93422,0.32639,0.34921,0.27826,1.0832,0.84758,1.30402,0.0013202,0.0013202,0.0013202
105,8276.05,0.95584,0.81277,1.21606,0.84298,0.33557,0.34765,0.2704,1.08061,0.80024,1.33074,0.0013136,0.0013136,0.0013136
106,8349.98,0.93559,0.80724,1.19887,0.78218,0.32639,0.33983,0.2449,1.21092,0.91386,1.44282,0.001307,0.001307,0.001307
107,8425.96,0.93815,0.79546,1.19672,0.84047,0.33333,0.35222,0.27724,1.07138,0.81374,1.34092,0.0013004,0.0013004,0.0013004
108,8497.49,0.91315,0.78436,1.16621,0.83136,0.33333,0.34228,0.25553,1.17452,0.89035,1.36691,0.0012938,0.0012938,0.0012938
109,8569.01,0.92971,0.7978,1.19003,0.85083,0.32639,0.35069,0.28263,0.98993,0.87953,1.22769,0.0012872,0.0012872,0.0012872
110,8665.01,0.94573,0.80611,1.21866,0.91987,0.31889,0.34205,0.25375,1.15569,0.83383,1.39421,0.0012806,0.0012806,0.0012806
111,8734.37,0.95203,0.82316,1.20655,0.85591,0.34028,0.35462,0.27982,1.04315,0.89897,1.24145,0.001274,0.001274,0.001274
112,8802.92,0.93751,0.78533,1.19956,0.89431,0.32639,0.34417,0.26166,1.11875,0.84938,1.33977,0.0012674,0.0012674,0.0012674
113,8877.21,0.92016,0.75682,1.17579,0.86102,0.32639,0.34361,0.26298,1.12128,0.80133,1.35156,0.0012608,0.0012608,0.0012608
114,8950.23,0.91645,0.78508,1.17362,0.76544,0.33333,0.3403,0.25438,1.20777,0.94897,1.43566,0.0012542,0.0012542,0.0012542
115,9025.67,0.9089,0.756,1.16864,0.80308,0.34028,0.35458,0.26621,1.10763,0.8586,1.30413,0.0012476,0.0012476,0.0012476
116,9094.88,0.90355,0.77975,1.17044,0.90056,0.34722,0.36332,0.26852,1.12396,0.84352,1.37323,0.001241,0.001241,0.001241
117,9163.73,0.88723,0.75493,1.16316,0.88983,0.34028,0.35686,0.27039,1.10767,0.88347,1.34871,0.0012344,0.0012344,0.0012344
118,9241.54,0.90222,0.75924,1.18149,0.90566,0.33332,0.35465,0.26832,1.08846,0.8248,1.31168,0.0012278,0.0012278,0.0012278
119,9310.83,0.91463,0.78366,1.17379,0.89087,0.34014,0.35069,0.26931,1.12158,0.84052,1.31951,0.0012212,0.0012212,0.0012212
120,9383.24,0.91998,0.76879,1.18817,0.86375,0.31944,0.33525,0.24801,1.14897,0.88747,1.35158,0.0012146,0.0012146,0.0012146
121,9444.99,0.92214,0.77122,1.18569,0.86746,0.34028,0.34578,0.26446,1.0852,0.88426,1.27639,0.001208,0.001208,0.001208
122,9515.17,0.90739,0.74556,1.18652,0.84251,0.33333,0.3479,0.26579,1.10991,0.81067,1.33529,0.0012014,0.0012014,0.0012014
123,9586.22,0.90612,0.76107,1.17331,0.9199,0.31903,0.33815,0.26121,1.16597,0.83797,1.351,0.0011948,0.0011948,0.0011948
124,9663.02,0.8914,0.75774,1.16361,0.89921,0.34028,0.34289,0.27832,1.07476,0.82314,1.3207,0.0011882,0.0011882,0.0011882
125,9732.97,0.88818,0.72931,1.16724,0.87642,0.33333,0.35418,0.26968,1.10024,0.81858,1.29333,0.0011816,0.0011816,0.0011816
126,9806.07,0.89857,0.75433,1.17404,0.77971,0.35417,0.35618,0.26847,1.07939,0.84036,1.23315,0.001175,0.001175,0.001175
127,9874.62,0.90124,0.76826,1.16938,0.89054,0.33902,0.36444,0.27425,1.01794,0.82539,1.23587,0.0011684,0.0011684,0.0011684
128,9936.52,0.89541,0.75138,1.15952,0.91474,0.33333,0.36285,0.27783,1.08747,0.84998,1.29192,0.0011618,0.0011618,0.0011618
129,10001.5,0.87376,0.73101,1.16455,0.80862,0.34028,0.343,0.27725,1.0314,0.81681,1.22357,0.0011552,0.0011552,0.0011552
130,10079.7,0.88687,0.72811,1.15439,0.79071,0.34722,0.35252,0.277,1.03801,0.82076,1.24878,0.0011486,0.0011486,0.0011486
131,10147.6,0.89173,0.77208,1.16559,0.86215,0.33333,0.35012,0.26927,1.12868,0.89616,1.31751,0.001142,0.001142,0.001142
132,10224.6,0.85882,0.72345,1.136,0.79661,0.34028,0.34575,0.27577,1.05107,0.89422,1.25355,0.0011354,0.0011354,0.0011354
133,10292.9,0.85733,0.73438,1.14061,0.90631,0.33593,0.36475,0.27406,1.06915,0.83778,1.24512,0.0011288,0.0011288,0.0011288
134,10365.1,0.88267,0.76442,1.1562,0.9504,0.33333,0.35596,0.27712,1.07755,0.85269,1.27513,0.0011222,0.0011222,0.0011222
135,10441,0.85221,0.6992,1.14684,0.93831,0.33333,0.34837,0.27339,1.07932,0.77286,1.28029,0.0011156,0.0011156,0.0011156
136,10511.8,0.91606,0.74936,1.17728,0.89582,0.33333,0.35309,0.27461,1.10363,0.82854,1.29895,0.001109,0.001109,0.001109
137,10588.8,0.86086,0.70294,1.13453,0.82842,0.34028,0.35611,0.27001,1.1409,0.76501,1.34158,0.0011024,0.0011024,0.0011024
138,10660.2,0.84546,0.70259,1.13583,0.90713,0.33916,0.34339,0.26086,1.08094,0.87065,1.30737,0.0010958,0.0010958,0.0010958
139,10736.9,0.85526,0.69834,1.13106,0.94204,0.33862,0.35342,0.26796,1.13571,0.82176,1.33728,0.0010892,0.0010892,0.0010892
140,10813.5,0.87093,0.73209,1.14484,0.84315,0.33601,0.34855,0.27126,1.08414,0.84935,1.29924,0.0010826,0.0010826,0.0010826
141,10890.8,0.84169,0.69441,1.13615,0.92265,0.33333,0.35656,0.27294,1.09712,0.79102,1.38926,0.001076,0.001076,0.001076
142,10956.8,0.83665,0.69235,1.12823,0.85303,0.33333,0.33207,0.26027,1.12328,0.80571,1.37326,0.0010694,0.0010694,0.0010694
143,11017.1,0.83671,0.69895,1.12247,0.90364,0.33333,0.34605,0.27018,1.07582,0.84169,1.33026,0.0010628,0.0010628,0.0010628
144,11095.7,0.86228,0.71412,1.13569,0.80739,0.34028,0.35625,0.2647,1.14606,0.85664,1.36083,0.0010562,0.0010562,0.0010562
145,11165.9,0.8654,0.69479,1.13869,0.85664,0.33333,0.35073,0.25855,1.16081,0.82793,1.40524,0.0010496,0.0010496,0.0010496
146,11239.6,0.84758,0.70262,1.12899,0.86482,0.33333,0.34715,0.27147,1.12545,0.79588,1.3539,0.001043,0.001043,0.001043
147,11314.2,0.82807,0.66914,1.12304,0.86753,0.34722,0.37089,0.28008,1.10109,0.8388,1.31226,0.0010364,0.0010364,0.0010364
148,11377.7,0.85565,0.67763,1.13904,0.9073,0.33986,0.35642,0.27174,1.12001,0.85642,1.32523,0.0010298,0.0010298,0.0010298
149,11456,0.84866,0.68455,1.12364,0.88364,0.34028,0.34673,0.27129,1.08833,0.77437,1.31604,0.0010232,0.0010232,0.0010232
150,11525.3,0.84561,0.68144,1.14192,0.90115,0.34028,0.36028,0.2759,1.12863,0.79779,1.32268,0.0010166,0.0010166,0.0010166
151,11598.4,0.82596,0.67573,1.11127,0.84945,0.34722,0.36164,0.27962,1.10152,0.76435,1.27478,0.00101,0.00101,0.00101
152,11674.9,0.84151,0.67988,1.12665,0.91993,0.33333,0.34468,0.2692,1.12345,0.78119,1.33532,0.0010034,0.0010034,0.0010034
153,11741.8,0.83487,0.67118,1.13368,0.8298,0.34028,0.34508,0.2681,1.15416,0.82737,1.36822,0.0009968,0.0009968,0.0009968
154,11815.9,0.84251,0.69754,1.13892,0.85614,0.34028,0.34691,0.26918,1.05942,0.81489,1.3096,0.0009902,0.0009902,0.0009902
155,11893.9,0.83155,0.68297,1.12388,0.8572,0.35417,0.36387,0.27123,1.14925,0.79389,1.40472,0.0009836,0.0009836,0.0009836
156,11968.4,0.80808,0.65452,1.11319,0.87226,0.33333,0.356,0.27002,1.11286,0.87647,1.32525,0.000977,0.000977,0.000977
157,12041.5,0.84355,0.68816,1.13592,0.93732,0.32639,0.34378,0.25358,1.1574,0.93226,1.35819,0.0009704,0.0009704,0.0009704
158,12115.1,0.80894,0.65508,1.10177,0.75845,0.32709,0.34947,0.2575,1.19265,0.90688,1.42965,0.0009638,0.0009638,0.0009638
159,12188.5,0.85147,0.69374,1.13683,0.84735,0.35417,0.36602,0.28393,1.07546,0.75635,1.29618,0.0009572,0.0009572,0.0009572
160,12274.8,0.82528,0.67712,1.1182,0.90545,0.34028,0.36244,0.27649,1.14649,0.80518,1.3562,0.0009506,0.0009506,0.0009506
161,12343.2,0.811,0.66057,1.10207,0.87701,0.34664,0.36927,0.27821,1.09931,0.7395,1.30047,0.000944,0.000944,0.000944
162,12420.6,0.8178,0.65659,1.1177,0.95887,0.34722,0.3547,0.27075,1.13538,0.7785,1.31523,0.0009374,0.0009374,0.0009374
163,12495.7,0.80084,0.66147,1.10718,0.90525,0.34722,0.36804,0.28231,1.08487,0.79615,1.2738,0.0009308,0.0009308,0.0009308
164,12567.5,0.82211,0.66364,1.11353,0.92361,0.34028,0.35804,0.2699,1.1656,0.7312,1.4276,0.0009242,0.0009242,0.0009242
165,12644.1,0.84479,0.65125,1.13263,0.93803,0.33333,0.36194,0.27189,1.13277,0.78334,1.32075,0.0009176,0.0009176,0.0009176
166,12721.4,0.8112,0.65125,1.09802,0.84672,0.33333,0.34417,0.26405,1.17308,0.83724,1.35681,0.000911,0.000911,0.000911
167,12795.1,0.81415,0.65861,1.09396,0.94223,0.33982,0.35634,0.27828,1.09474,0.77134,1.29213,0.0009044,0.0009044,0.0009044
168,12868.3,0.8084,0.64271,1.10078,0.89871,0.34722,0.35674,0.27755,1.12038,0.76749,1.2593,0.0008978,0.0008978,0.0008978
169,12945.2,0.80633,0.64782,1.10227,0.79009,0.34028,0.33707,0.2688,1.07339,0.824,1.28284,0.0008912,0.0008912,0.0008912
170,13022.9,0.80696,0.64834,1.114,0.92235,0.34722,0.36867,0.27432,1.12561,0.74699,1.32269,0.0008846,0.0008846,0.0008846
171,13096.2,0.79146,0.63883,1.10358,0.91693,0.33333,0.35284,0.28235,1.08297,0.72047,1.28221,0.000878,0.000878,0.000878
172,13170.1,0.79768,0.63726,1.10866,0.92349,0.35417,0.36314,0.27426,1.17701,0.78109,1.36939,0.0008714,0.0008714,0.0008714
173,13237.8,0.77777,0.60566,1.08233,0.92439,0.36111,0.36819,0.27888,1.13075,0.72471,1.31729,0.0008648,0.0008648,0.0008648
174,13311.8,0.78356,0.61303,1.08168,0.90612,0.34028,0.34122,0.27255,1.06114,0.76887,1.28893,0.0008582,0.0008582,0.0008582
175,13379.4,0.78319,0.63348,1.09198,0.83504,0.35157,0.36165,0.2805,1.05313,0.75801,1.29199,0.0008516,0.0008516,0.0008516
176,13455.4,0.78463,0.63486,1.08921,0.8069,0.34028,0.34487,0.27796,1.02373,0.80437,1.23373,0.000845,0.000845,0.000845
177,13528.7,0.76838,0.62325,1.08304,0.89868,0.32639,0.34428,0.26939,1.08532,0.81141,1.31214,0.0008384,0.0008384,0.0008384
178,13605.6,0.77342,0.62469,1.08226,0.88733,0.33333,0.33296,0.265,1.05987,0.79473,1.29498,0.0008318,0.0008318,0.0008318
